simulationTime[s],incidentID,districtName,districtSafetyLevel,distanceOfSummonedPatrol[m],City
64569,c52f25de-d795-4427-bfc2-16505b1c0e40,Podgórze Duchackie,NotSafe,1.1715060656637926,Krakow
64622,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,3.077297397937717,Krakow
64624,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,1.0071192657976153,Krakow
64625,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,2.2220851173376657,Krakow
64746,bc7ff1d4-d245-484f-aca1-3c146e2d1bfd,Mistrzejowice,RatherSafe,2.8979997836497775,Krakow
64878,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,1.0608875778070226,Krakow
64880,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,2.201462401563644,Krakow
64881,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,1.893071704566756,Krakow
65016,dbb1ce67-ad43-4d1a-8f77-d0ccb01810e3,Bronowice,NotSafe,2.7208475294369756,Krakow
65209,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,3.4223724895520067,Krakow
65235,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,3.4453849686975317,Krakow
65288,5dd9a4be-ae38-4fca-afde-2e4e1cec6dca,Podgórze Duchackie,NotSafe,0.9142140345664421,Krakow
65370,7856d11b-94c1-49c4-869c-a3e2850e162f,Czyżyny,RatherSafe,2.1974746378829884,Krakow
65371,01d96592-1438-4844-8b76-ef5550bc3280,Podgórze Duchackie,NotSafe,1.4400073384140477,Krakow
65568,6cfe5f25-1c17-4051-9ceb-28f14f3e8e55,Bieżanów-Prokocim,Safe,0.19638718634772864,Krakow
65731,c98edfa7-9b85-4af1-bd3c-919fccb47fce,Podgórze Duchackie,NotSafe,0.7818668452870541,Krakow
65868,c6d57575-0cec-4a0e-ba19-3aea98e7683f,Mistrzejowice,RatherSafe,1.9262613381844418,Krakow
66023,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,0.8922532243474162,Krakow
66052,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,1.4494531107723736,Krakow
66053,ac7ee647-b29c-40b1-81cc-30910df1069a,Wzgórza Krzesławickie,Safe,4.656628667330913,Krakow
66140,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,1.4585510929866947,Krakow
66141,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,1.8489381834979206,Krakow
66169,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,3.2664605286743305,Krakow
66169,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,3.419518978185091,Krakow
66171,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,2.49185563018016,Krakow
66172,395a8784-9ffb-4e70-b5bc-68b00ebfbadd,Prądnik Czerwony,RatherSafe,0.8292558352167498,Krakow
66227,14dca69b-1c6d-4f5d-9f8b-ff32eeebe4ba,Stare Miasto,NotSafe,0.603626568395792,Krakow
66311,cd8ad54b-8cda-49fc-a410-03b8dfb04d7c,Nowa Huta,NotSafe,8.58964150515017,Krakow
66444,72f201a5-2050-41f9-b637-57d09b8a36a1,Łagiewniki-Borek Fałęcki,RatherSafe,3.3426071558871766,Krakow
66470,f2837972-c3bb-42c7-a634-c9d44226b8d0,Wzgórza Krzesławickie,Safe,6.727478931753854,Krakow
