simulationTime[s],districtName,districtSafetyLevel,patrolID,previousPatrolState,currentPatrolState,isNight,City
1530,Prądnik Biały,Safe,d60f2e1d-c8c5-4602-b05f-c4b509c769e5,CALCULATING_PATH,PATROLLING,0,Krakow
1531,Prądnik Biały,Safe,25f36c19-b359-4d40-81c4-1bc086aafedf,CALCULATING_PATH,PATROLLING,0,Krakow
1569,Dębniki,NotSafe,0fada8de-9ce7-48b6-a31d-d9a7b4ba1198,CALCULATING_PATH,PATROLLING,0,Krakow
1586,Nowa Huta,NotSafe,2190f202-5d92-448e-b6aa-cefa6e8173d3,CALCULATING_PATH,PATROLLING,0,Krakow
1586,Dębniki,NotSafe,48654344-0075-4e04-8bba-06186c0814c3,CALCULATING_PATH,PATROLLING,0,Krakow
1614,Zwierzyniec,RatherSafe,b6a393a3-8c7f-458a-baed-43650d9c20e8,CALCULATING_PATH,PATROLLING,0,Krakow
1648,Łagiewniki-Borek Fałęcki,RatherSafe,4503c5e1-3fc3-449d-96d4-50d16cbd17e4,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1652,Swoszowice,Safe,fb69b374-1875-4215-b1bf-aa83809a09bf,CALCULATING_PATH,PATROLLING,0,Krakow
1652,Prądnik Biały,Safe,3556c641-42e4-40a3-91c1-9e6fda8c202e,CALCULATING_PATH,PATROLLING,0,Krakow
1709,Bronowice,NotSafe,290237c9-4e02-48e3-8e83-d8a4df01d761,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1709,Bieżanów-Prokocim,Safe,579221d3-996e-40d5-a7e9-1efd0b66d5e0,CALCULATING_PATH,PATROLLING,0,Krakow
1760,Prądnik Czerwony,RatherSafe,9c9338c5-0c47-43dc-b113-526a9423fc47,CALCULATING_PATH,PATROLLING,0,Krakow
1846,Dębniki,NotSafe,a179e779-1b8e-4a97-a09f-88705b3efa83,CALCULATING_PATH,PATROLLING,0,Krakow
1856,Swoszowice,Safe,9fd7200d-9abc-47dc-9fd4-bc16a02cdd8a,CALCULATING_PATH,PATROLLING,0,Krakow
1856,Prądnik Biały,Safe,08c063ea-9a24-4b1b-9f8c-681b24c323b1,CALCULATING_PATH,PATROLLING,0,Krakow
1857,Dębniki,NotSafe,1174994b-b2ef-4b1c-83e9-852a355c568e,CALCULATING_PATH,PATROLLING,0,Krakow
1857,Podgórze Duchackie,NotSafe,c9739aa1-c047-45bb-ab37-d709dce9162f,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1858,Wzgórza Krzesławickie,Safe,896e6712-1cf8-42c3-9420-c7c9898f0064,CALCULATING_PATH,PATROLLING,0,Krakow
1887,Grzegórzki,RatherSafe,6558fe54-f450-4dda-ae85-6b559ad63cb3,CALCULATING_PATH,PATROLLING,0,Krakow
1905,Wzgórza Krzesławickie,Safe,59f07192-d91d-4ffa-8a3f-9c554bb5ec99,CALCULATING_PATH,PATROLLING,0,Krakow
1951,,,80697794-57db-4045-854f-c4698a2b91f6,CALCULATING_PATH,PATROLLING,0,Krakow
1955,Prądnik Biały,Safe,67157c1c-5b03-4326-b05e-bf589fc60b23,CALCULATING_PATH,PATROLLING,0,Krakow
1956,Bieżanów-Prokocim,Safe,da03da70-3934-4801-b5d6-b5d1c12da186,CALCULATING_PATH,PATROLLING,0,Krakow
1993,Zwierzyniec,RatherSafe,6b3ac9f9-4927-4210-bab0-565f840fe5a1,CALCULATING_PATH,PATROLLING,0,Krakow
1997,Nowa Huta,NotSafe,2190f202-5d92-448e-b6aa-cefa6e8173d3,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2039,Podgórze,Safe,a8d717f8-eceb-410b-bb04-0c7ad48b536d,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2040,Podgórze,Safe,95087aa5-54c7-417f-9b04-df185da104f2,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2043,Swoszowice,Safe,4eaaf778-b95d-4346-ab31-5b37c7a15138,CALCULATING_PATH,PATROLLING,0,Krakow
2069,Swoszowice,Safe,fb69b374-1875-4215-b1bf-aa83809a09bf,CALCULATING_PATH,PATROLLING,0,Krakow
2119,Swoszowice,Safe,c896af8b-1186-48f4-a835-de004326d556,CALCULATING_PATH,PATROLLING,0,Krakow
2120,Prądnik Czerwony,RatherSafe,3556c641-42e4-40a3-91c1-9e6fda8c202e,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2120,Dębniki,NotSafe,32efb40a-458d-4f88-8f2e-726929efca90,CALCULATING_PATH,PATROLLING,0,Krakow
2145,Bieńczyce,RatherSafe,92a5fe45-0fad-416e-851b-7334a0e6355f,CALCULATING_PATH,PATROLLING,0,Krakow
2146,,,0f1148d6-8e55-4cf0-9c66-7bdd0c4a6bac,CALCULATING_PATH,PATROLLING,0,Krakow
2147,Krowodrza,RatherSafe,02298415-119d-42a7-bffb-c9f8b1fb9e90,CALCULATING_PATH,PATROLLING,0,Krakow
2173,Czyżyny,RatherSafe,5b066d67-bc10-4ef6-b685-ed5c2a10e7cf,CALCULATING_PATH,PATROLLING,0,Krakow
2202,Wzgórza Krzesławickie,Safe,59f07192-d91d-4ffa-8a3f-9c554bb5ec99,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2227,Bronowice,NotSafe,25f36c19-b359-4d40-81c4-1bc086aafedf,CALCULATING_PATH,PATROLLING,0,Krakow
2227,Podgórze,Safe,37cdec9e-5da6-42ec-8ca9-f71fadea613c,CALCULATING_PATH,PATROLLING,0,Krakow
2331,Bieńczyce,RatherSafe,92a5fe45-0fad-416e-851b-7334a0e6355f,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
2332,Podgórze Duchackie,NotSafe,0fada8de-9ce7-48b6-a31d-d9a7b4ba1198,CALCULATING_PATH,PATROLLING,0,Krakow
2398,Bieżanów-Prokocim,Safe,d11bb202-b805-45fd-9c74-ba56305be21d,CALCULATING_PATH,PATROLLING,0,Krakow
2398,Bieżanów-Prokocim,Safe,da03da70-3934-4801-b5d6-b5d1c12da186,CALCULATING_PATH,PATROLLING,0,Krakow
2431,Wzgórza Krzesławickie,Safe,2af3248f-e4de-40db-be99-ddd38df145af,CALCULATING_PATH,PATROLLING,0,Krakow
