"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
74448,281906e8-4f34-4e81-8348-fdc5b8e2685a,Podgórze Duchackie,NotSafe,"14140,675112192974",636.3303800486839
75068,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,"4500,238565799929",202.51073546099684
75443,1bf6f242-d5a6-4971-a51b-2e3c1df8b4fe,Czy¿yny,RatherSafe,"9494,722026443345",427.26249118995054
76493,9198ec14-43dd-45a1-90d2-f4f8253e7dea,£agiewniki-Borek Fa³êcki,RatherSafe,"16092,542114850563",724.1643951682754
76595,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,"19047,25255541272",857.1263649935725
76731,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,"13659,12354275867",614.6605594241402
77269,64957d4e-f057-406b-8f3c-7d7f09eb707c,Mistrzejowice,RatherSafe,"10719,347427580129",482.37063424110585
77639,6e0d5a1f-5b1a-4690-99ff-902892245be1,Zwierzyniec,RatherSafe,"18394,97013711306",827.7736561700877
78218,eed893f3-d550-42a1-9c4a-f74950d0e5b4,Nowa Huta,NotSafe,"5372,587241454119",241.76642586543537
78269,198f3e38-9fbe-47ea-9d4c-8e9c65f7ed84,Stare Miasto,NotSafe,"14526,606900824503",653.6973105371027
78458,154ca510-6d90-420c-be3b-2b945d5ad5de,Pr¹dnik Czerwony,RatherSafe,"11559,691391840273",520.1861126328123
78484,df2f7f76-d7d6-44f5-8ac9-c91b07382bf0,Nowa Huta,NotSafe,"3333,8113428837064",150.0215104297668
79652,5f05f394-c6fc-44db-b389-23c42912f779,Bronowice,NotSafe,"17169,81910216655",772.6418595974949
80016,e8522a00-457e-41a4-9d69-91a37b538f55,Podgórze Duchackie,NotSafe,"13648,029143954833",614.1613114779675
80490,c37e0bc0-e688-4fdb-8566-f5935317c760,Dêbniki,NotSafe,"18645,900707649664",839.0655318442349
82587,7122d02f-b920-4aa0-8535-0b01df819428,Pr¹dnik Bia³y,Safe,"17137,598426242428",771.1919291809093
83486,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,"10766,03598779948",484.4716194509766
83851,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dêbniki,NotSafe,"23915,388441423183",1076.1924798640432
84559,05df5c4a-30c8-4dd8-8909-ce977868023a,Pr¹dnik Bia³y,Safe,"15157,18416910064",682.0732876095288
84813,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,"15606,676585686608",702.3004463558974
85973,af14a3dd-7761-4e3e-b9af-6192b0122f7b,Bronowice,NotSafe,"17837,87073857967",802.7041832360852
