"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
15434,1a63b14b-84ef-498d-9a06-6aa45ae09c75,Stare Miasto,NotSafe,2,1,2,2,"4127,316823958885",0
15436,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,3,1,1,1,"1184,4661235060519",0
15470,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,3,1,7,6,"12123,841244577683",0
16678,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,4,1,1,1,"768,4668959802663",0
16681,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,4,1,3,2,"3703,2657799615804",0
17823,1771d0f6-fed5-4f85-a5c3-c9760edeaa5d,Grzegórzki,RatherSafe,3,1,2,2,"3511,9817833403968",0
20265,ccd11071-f361-4a8d-8af5-72b8c4daa8ce,Czy¿yny,RatherSafe,3,1,3,3,"5911,475939051112",0
22431,8dfdda34-aac8-45f7-bc90-59d3297765e9,Stare Miasto,NotSafe,6,1,2,2,"310,59578113429853",0
22434,8dfdda34-aac8-45f7-bc90-59d3297765e9,Stare Miasto,NotSafe,6,1,5,3,"5263,1697003980125",0
24079,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,2,2,"1115,1837260622028",0
24081,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,3,1,"2882,530500933435",0
24111,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,4,1,"1671,6125476854465",0
25218,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,2,2,"5177,4300685970775",0
25220,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,3,1,"2998,0123281360507",0
25465,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,1,1,"3495,30758705992",0
25466,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dêbniki,NotSafe,6,1,1,1,"1184,5904175757657",0
25467,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dêbniki,NotSafe,6,1,2,1,"2290,4476495470394",0
25471,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dêbniki,NotSafe,6,1,5,3,"9385,680517622264",0
25498,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,2,1,"3470,2263602619682",0
25829,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,1,1,"2055,5601448135535",0
25832,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,4,3,"9125,322031137672",0
27911,be5adf17-fffd-42ef-96a6-902b4b266449,Bronowice,NotSafe,4,1,3,3,"8634,714756186639",0
29657,26589b80-fa78-45f6-a9ff-08e1b0a3b07f,Pr¹dnik Czerwony,RatherSafe,4,1,3,3,"5984,339353096651",0
32265,186151cf-94a2-4169-863c-92ca84b82fe7,£agiewniki-Borek Fa³êcki,RatherSafe,4,1,3,3,"6262,287579332316",0
32460,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,1,1,"946,6344053409789",0
32461,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,2,1,"1504,0279152974513",0
32464,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,4,2,"6808,753118952853",0
35316,219a9e34-c9ad-4851-ac52-610d8cda41ac,Podgórze,Safe,3,1,2,2,"1333,9013985981326",0
