simulationTime[s],firingID,districtName,districtSafetyLevel,generallyRequiredPatrols,solvingPatrols,reachingPatrols(including 'called'),calledPatrols,totalDistanceOfCalledPatrols,isNight,City,simulationTime[h]
63535,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,1,3,3,9.242021169490904,1,Krakow,17.648611111111112
63784,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,1,1,3.373780773390179,1,Krakow,17.717777777777776
63893,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,2,1,3.55317911190632,1,Krakow,17.748055555555556
63894,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,1,1,2.2695185772833657,1,Krakow,17.748333333333335
63929,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,5,4,12.551456378845124,1,Krakow,17.758055555555554
64622,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,1,1,3.077297397937717,1,Krakow,17.950555555555557
64625,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,3,2,3.2292043831352806,1,Krakow,17.95138888888889
64879,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,1,1,1.0608875778070226,1,Krakow,18.021944444444443
64880,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,2,1,2.201462401563644,1,Krakow,18.022222222222222
64881,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,3,1,1.893071704566756,1,Krakow,18.0225
65209,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,1,1,3.4223724895520067,1,Krakow,18.113611111111112
65236,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,2,1,3.4453849686975317,1,Krakow,18.121111111111112
66023,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,1,1,0.8922532243474162,1,Krakow,18.33972222222222
66052,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,2,1,1.4494531107723736,1,Krakow,18.34777777777778
66141,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,2,2,3.3074892764846155,1,Krakow,18.3725
66171,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,5,3,9.177835137039581,1,Krakow,18.38083333333333
